Repositório,Estrelas,Pull Requests
chrislgarry/Apollo-11,56462,437
bradtraversy/design-resources-for-developers,56134,1293
ggerganov/llama.cpp,56061,2780
sdmg15/Best-websites-a-programmer-should-visit,56059,855
h5bp/html5-boilerplate,55939,1691
sindresorhus/awesome-nodejs,55818,1101
openai/openai-cookbook,55806,665
ocornut/imgui,55654,1120
binary-husky/gpt_academic,55589,241
obsproject/obs-studio,55481,6204
fffaraz/awesome-cpp,55449,854
Eugeny/tabby,55093,3898
spring-projects/spring-framework,55067,4708
gatsbyjs/gatsby,55000,21925
rails/rails,54879,33415
