Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
64520,[TF-XLA:CPU][oneDNN] Disable grappler remapper fusions on TF->XLA CPU JIT compilation,200,True,True,2024-04-24T04:53:04Z,2024-04-24T04:53:04Z,5,5,1,2,126,16,142,2499261.51971
65538,[oneDNN] Remove MKL blocked format test code,82,True,True,2024-04-23T19:53:09Z,2024-04-23T19:53:09Z,1,5,2,2,0,42,42,1030622.043238
65891,Add a pass to insert CalibrationStatisticsSaver op,224,True,False,,2024-04-23T02:32:12Z,2,2,0,0,0,0,0,658469.068883
