Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
41802,fix: move BrowserWindow's WebContentsView to be a child of rootview,121,True,True,2024-04-10T11:20:44Z,2024-04-10T11:20:44Z,1,3,2,7,31,34,65,1365415.652166
41861,chore: delete unused PrintPreviewMessageHandler,55,True,True,2024-04-15T22:35:59Z,2024-04-15T22:35:59Z,3,3,1,1,0,273,273,776199.652166
41841,chore: delete unused PrintPreviewMessageHandler,316,True,True,2024-04-15T15:34:56Z,2024-04-15T15:34:57Z,1,2,3,1,0,273,273,1059994.652166
41862,chore: delete unused PrintPreviewMessageHandler,55,True,True,2024-04-15T22:35:46Z,2024-04-15T22:35:46Z,3,3,1,1,0,273,273,776193.652166
41610,chore: bump chromium to 125.0.6412.0 (main),122,True,True,2024-04-15T22:10:32Z,2024-04-15T22:10:32Z,13,6,2,146,1288,1213,2501,3377484.652166
41822,feat: support `NODE_EXTRA_CA_CERTS`,89,True,True,2024-04-15T19:22:39Z,2024-04-15T19:22:39Z,1,3,1,7,57,9,66,1212031.652166
41689,feat: support `NODE_EXTRA_CA_CERTS`,630,True,True,2024-04-10T14:30:35Z,2024-04-10T14:30:35Z,12,4,6,7,57,9,66,2597762.652166
41827,feat: implement File System API support,95,True,True,2024-04-15T19:22:17Z,2024-04-15T19:22:17Z,2,3,1,23,1562,9,1571,1191864.652166
41419,feat: implement File System API support,1477,True,True,2024-04-10T20:06:47Z,2024-04-10T20:06:47Z,19,6,4,23,1562,9,1571,5333536.037048
41661,feat: add `navigationHistory.getEntryAtIndex(int index)` method ,269,True,True,2024-04-04T17:09:19Z,2024-04-04T17:09:20Z,2,4,3,9,148,7,155,2899653.037048
41662,feat: add `navigationHistory.getEntryAtIndex(int index)` method,269,True,True,2024-04-05T17:59:47Z,2024-04-05T17:59:47Z,2,5,5,9,148,8,156,2897458.037048
41863,test: add tests for Storage Access API,56,True,True,2024-04-15T18:03:33Z,2024-04-15T18:03:33Z,2,3,1,2,136,0,136,774454.038062
41849,docs: clarify before `ready` usage,526,True,True,2024-04-15T14:38:58Z,2024-04-15T14:38:58Z,1,3,2,1,4,0,4,1004863.038062
41832,fix: stop using std::vector<const uint8_t> in ProcessingSingleton,523,True,True,2024-04-15T17:32:48Z,2024-04-15T17:32:48Z,3,6,5,3,15,15,30,1131892.038062
41860,docs: clarify before `ready` usage,55,True,True,2024-04-15T17:03:58Z,2024-04-15T17:03:58Z,1,2,1,1,4,0,4,779564.038062
41859,"docs: use ""id"" instead of ""label"" for positions",56,True,True,2024-04-15T17:02:05Z,2024-04-15T17:02:05Z,1,1,1,2,8,8,16,831693.038062
41843,"docs: use ""id"" instead of ""label"" for positions",747,True,True,2024-04-15T00:10:10Z,2024-04-15T00:10:10Z,3,4,4,2,8,8,16,1052871.038062
41837,fix: silent printing default dpi on Windows,142,True,True,2024-04-15T17:01:38Z,2024-04-15T17:01:38Z,1,1,1,4,185,97,282,1091691.038062
41811,fix: silent printing default dpi on Windows,840,True,True,2024-04-11T23:56:39Z,2024-04-11T23:56:39Z,1,2,4,4,185,97,282,1286782.038062
41209,fix: `original-fs` import replacement,637,True,True,2024-02-05T08:51:05Z,2024-02-05T08:51:05Z,3,4,5,2,15,4,19,7184516.038062
40993,fix: check for Node.js-created module when `contextIsolation` disabled,1010,True,True,2024-01-16T13:29:00Z,2024-01-16T13:29:00Z,3,3,6,8,97,10,107,8648562.038062
41856,chore: cherry-pick 8 changes from 3-M123 and M1nn,3211,True,True,2024-04-15T16:26:15Z,2024-04-15T16:26:15Z,2,3,1,15,2148,1,2149,922979.038062
41858,build: redundant regex character class in generate-config-gypi.py,422,True,True,2024-04-15T15:33:55Z,2024-04-15T15:33:55Z,2,3,2,1,1,1,2,833311.038062
41845,fix: package <__assertion_handler> as part of libcxx headers,118,True,True,2024-04-15T07:50:28Z,2024-04-15T07:50:28Z,1,2,2,1,4,2,6,1038097.038062
41830,fix: package <__assertion_handler> as part of libcxx headers,1340,True,True,2024-04-12T14:50:04Z,2024-04-12T14:50:04Z,1,2,4,1,4,2,6,1160970.038062
41846,fix: package <__assertion_handler> as part of libcxx headers,118,True,True,2024-04-15T07:49:42Z,2024-04-15T07:49:42Z,1,2,1,1,4,2,6,1038091.038062
41834,docs: update ASAR integrity tutorial,55,True,True,2024-04-15T00:07:35Z,2024-04-15T00:07:35Z,1,1,1,1,100,22,122,1103373.038062
41828,docs: update ASAR integrity tutorial,478,True,True,2024-04-11T20:41:59Z,2024-04-11T20:41:59Z,5,4,2,1,100,22,122,1177546.691746
41852,chore: bump chromium to 124.0.6367.49 (30-x-y),126,True,True,2024-04-15T00:04:30Z,2024-04-15T00:04:30Z,1,1,1,7,22,22,44,958288.691746
41854,chore: cherry-pick 3 changes from 3-M123,2791,True,True,2024-04-15T00:01:19Z,2024-04-15T00:01:19Z,1,2,1,8,380,1,381,922994.691746
41855,chore: cherry-pick 4 changes from 3-M123 and M122,2888,True,True,2024-04-15T00:00:54Z,2024-04-15T00:00:54Z,1,2,1,10,415,1,416,922988.691746
41844,fix: do not activate app when showing a panel on Mac,137,True,True,2024-04-13T14:55:42Z,2024-04-13T14:55:42Z,1,2,1,4,28,32,60,1046623.691746
